case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
120,22.840,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x224_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
121,20.180,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x256_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
122,21.300,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x256_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
123,19.860,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x256_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
124,19.560,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x256_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
125,23.680,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x288_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
126,23.720,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x288_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
127,22.880,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x288_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
128,23.480,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x288_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
129,23.480,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x320_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
130,22.780,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x320_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
131,23.000,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x320_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
132,23.200,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x320_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
133,23.620,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x352_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
134,24.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x352_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
135,23.000,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x352_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
