case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
81,23.940,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x352_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
82,23.980,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x352_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
83,24.360,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x352_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
84,24.460,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x352_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
85,22.760,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x384_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
86,22.900,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x384_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
87,22.980,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x384_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
88,22.740,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x384_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
89,24.800,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x416_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
90,24.440,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x416_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
